Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ATL,Zaccharie Risacher,,2,77,1884,960,270,92,.458,.352,.711,24.5,12.5,3.5,1.2,1.7,.044,-3.6,-0.8
2,2,WAS,Alex Sarr,,2,71,1924,947,470,179,.404,.310,.689,27.1,13.3,6.6,2.5,0.0,.000,-2.8,-0.4
3,3,HOU,Reed Sheppard,Kentucky,2,55,726,262,86,88,.353,.350,.778,13.2,4.8,1.6,1.6,0.8,.053,-1.7,0.1
4,4,SAS,Stephon Castle,UConn,2,85,2285,1263,321,351,.432,.286,.710,26.9,14.9,3.8,4.1,1.2,.025,-3.3,-0.8
5,5,DET,Ron Holland,,2,85,1351,570,232,90,.472,.246,.763,15.9,6.7,2.7,1.1,1.9,.069,-2.8,-0.3
6,6,CHO,Tidjane Salaün,,2,64,1306,373,302,78,.335,.291,.710,20.4,5.8,4.7,1.2,0.2,.009,-4.9,-1.0
7,7,POR,Donovan Clingan,UConn,2,71,1426,483,565,85,.545,.295,.622,20.1,6.8,8.0,1.2,4.6,.154,0.0,0.7
8,8,SAS,Rob Dillingham,Kentucky,2,51,529,223,50,100,.446,.338,.533,10.4,4.4,1.0,2.0,0.1,.009,-4.3,-0.3
9,9,MEM,Zach Edey,Purdue,1,66,1416,610,548,65,.580,.346,.709,21.5,9.2,8.3,1.0,4.9,.165,-0.1,0.7
10,10,UTA,Cody Williams,Colorado,2,51,1062,230,113,59,.323,.259,.725,20.8,4.5,2.2,1.2,-1.2,-.053,-7.3,-1.4
11,11,CHI,Matas Buzelis,,2,83,1590,728,292,83,.454,.353,.817,19.2,8.8,3.5,1.0,2.0,.061,-2.7,-0.3
12,12,OKC,Nikola Topić,,,,,,,,,,,,,,,,,,
13,13,SAC,Devin Carter,Providence,2,38,408,142,77,42,.375,.295,.609,10.7,3.7,2.0,1.1,0.4,.047,-2.9,-0.1
14,14,POR,Bub Carrington,Pitt,2,86,2577,839,357,379,.399,.346,.806,30.0,9.8,4.2,4.4,0.3,.005,-4.7,-1.7
15,15,MIA,Kel'el Ware,Indiana,2,68,1507,640,503,62,.550,.323,.693,22.2,9.4,7.4,0.9,4.4,.141,-0.3,0.6
16,16,PHI,Jared McCain,Duke,1,23,592,352,56,60,.460,.383,.875,25.7,15.3,2.4,2.6,0.7,.057,0.2,0.3
17,17,LAL,Dalton Knecht,Tennessee,2,81,1539,724,221,67,.458,.370,.773,19.0,8.9,2.7,0.8,2.6,.082,-2.0,0.0
18,18,ORL,Tristan Da Silva,Colorado,2,78,1710,572,257,118,.412,.333,.863,21.9,7.3,3.3,1.5,2.7,.074,-2.4,-0.2
19,19,TOR,Ja'Kobe Walter,Baylor,2,53,1113,452,161,82,.405,.351,.795,21.0,8.5,3.0,1.5,1.2,.052,-3.0,-0.3
20,20,CLE,Jaylon Tyson,California,2,51,538,188,104,48,.428,.353,.786,10.5,3.7,2.0,0.9,0.9,.076,-3.1,-0.2
21,21,NOP,Yves Missi,Baylor,2,75,1999,681,615,103,.548,.000,.630,26.7,9.1,8.2,1.4,3.7,.089,-3.0,-0.5
22,22,PHO,DaRon Holmes,Dayton,1,2,4,3,0,0,1.000,1.000,,2.0,1.5,0.0,0.0,0.0,.212,8.9,0.0
23,23,MIL,AJ Johnson,,2,31,645,220,60,77,.383,.267,.865,20.8,7.1,1.9,2.5,-0.4,-.033,-8.1,-1.0
24,24,NYK,Kyshawn George,Miami (FL),2,72,1934,671,322,189,.387,.337,.731,26.9,9.3,4.5,2.6,0.5,.012,-3.5,-0.8
25,25,NYK,Pacome Dadiet,,1,18,111,30,18,5,.323,.316,.667,6.2,1.7,1.0,0.3,0.0,.002,-6.5,-0.1
26,26,WAS,Dillon Jones,Weber State,1,54,552,135,121,58,.383,.254,.607,10.2,2.5,2.2,1.1,0.8,.067,-4.0,-0.3
27,27,MIN,Terrence Shannon Jr.,Illinois,2,36,413,160,61,38,.467,.395,.792,11.5,4.4,1.7,1.1,0.6,.068,-3.0,-0.1
28,28,DEN,Ryan Dunn,Virginia,2,78,1492,542,291,63,.435,.310,.463,19.1,6.9,3.7,0.8,1.2,.037,-4.0,-0.7
29,29,UTA,Isaiah Collier,USC,1,71,1839,615,235,446,.422,.249,.682,25.9,8.7,3.3,6.3,-0.8,-.021,-5.3,-1.6
30,30,BOS,Baylor Scheierman,Creighton,2,34,407,116,74,33,.354,.318,.750,12.0,3.4,2.2,1.0,0.8,.092,-1.7,0.0
31,31,TOR,Jonathan Mogbo,San Francisco,2,67,1306,395,317,147,.440,.243,.732,19.5,5.9,4.7,2.2,1.9,.071,-1.9,0.1
32,32,UTA,Kyle Filipowski,Duke,2,75,1592,712,456,150,.496,.348,.650,21.2,9.5,6.1,2.0,2.6,.078,-1.2,0.3
33,33,MIL,Tyler Smith,,1,23,122,67,25,4,.480,.433,.750,5.3,2.9,1.1,0.2,0.2,.083,-0.9,0.0
34,34,POR,Tyler Kolek,Marquette,2,45,344,100,30,78,.347,.293,.765,7.6,2.2,0.7,1.7,0.4,.054,-3.2,-0.1
35,35,SAS,Johnny Furphy,Kansas,2,51,380,103,71,19,.380,.300,.818,7.5,2.0,1.4,0.4,0.5,.069,-2.5,0.0
36,36,IND,Juan Nunez,,,,,,,,,,,,,,,,,,
37,37,MIN,Bobi Klintman,,2,9,49,17,10,7,.583,.400,.333,5.4,1.9,1.1,0.8,0.2,.208,2.7,0.1
38,38,NYK,Ajay Mitchell,UC Santa Barbara,2,41,730,325,87,79,.488,.373,.875,17.8,7.9,2.1,1.9,2.0,.132,-0.9,0.2
39,39,MEM,Jaylen Wells,Washington State,2,83,2148,861,279,142,.421,.348,.808,25.9,10.4,3.4,1.7,3.4,.076,-2.5,-0.3
40,40,POR,Oso Ighodaro,Marquette,2,65,1121,277,234,75,.591,.000,.554,17.2,4.3,3.6,1.2,1.5,.063,-3.2,-0.3
41,41,PHI,Adem Bona,UCLA,2,62,974,347,257,30,.693,.000,.664,15.7,5.6,4.1,0.5,2.3,.116,-2.7,-0.2
42,42,CHO,KJ Simpson,Colorado,1,36,842,282,109,112,.346,.254,.820,23.4,7.8,3.0,3.1,-0.4,-.025,-5.4,-0.7
43,43,MIA,Nikola Djurisic,,,,,,,,,,,,,,,,,,
44,44,HOU,Pelle Larsson,Arizona,2,59,829,277,99,68,.445,.349,.677,14.1,4.7,1.7,1.2,1.6,.091,-2.8,-0.2
45,45,SAC,Jamal Shead,Houston,2,79,1530,559,119,338,.405,.322,.769,19.4,7.1,1.5,4.3,1.0,.030,-4.0,-0.8
46,46,LAC,Cam Christie,Minnesota,2,16,78,27,16,7,.290,.235,.625,4.9,1.7,1.0,0.4,0.0,.007,-2.9,0.0
47,47,ORL,Antonio Reeves,Kentucky,1,44,660,305,63,39,.456,.395,.800,15.0,6.9,1.4,0.9,0.4,.029,-3.2,-0.2
48,48,SAS,Harrison Ingram,UNC,2,7,41,7,10,3,.600,.500,,5.9,1.0,1.4,0.4,0.1,.126,0.8,0.0
49,49,IND,Tristen Newton,UConn,1,8,16,3,4,2,.125,.000,1.000,2.0,0.4,0.5,0.3,-0.1,-.330,-20.7,-0.1
50,50,IND,Enrique Freeman,University of Akron,1,22,181,46,30,9,.432,.100,.684,8.2,2.1,1.4,0.4,0.2,.046,-6.3,-0.2
51,51,NYK,Melvin Ajinça,,,,,,,,,,,,,,,,,,
52,52,GSW,Quinten Post,Boston College,2,47,753,359,166,60,.447,.408,.778,16.0,7.6,3.5,1.3,1.8,.112,0.0,0.4
53,53,DET,Cam Spencer,UConn,2,29,309,134,40,45,.412,.394,.960,10.7,4.6,1.4,1.6,0.9,.147,0.5,0.2
54,54,BOS,Anton Watson,Gonzaga,1,9,22,8,3,2,.444,.000,,2.4,0.9,0.3,0.2,0.0,-.070,-10.1,0.0
55,55,LAL,Bronny James,USC,2,29,204,62,21,25,.300,.281,.786,7.0,2.1,0.7,0.9,-0.3,-.059,-7.8,-0.3
56,56,PHO,Kevin McCullar Jr.,Kansas,1,4,29,6,8,2,.286,.000,1.000,7.3,1.5,2.0,0.5,0.0,.060,-7.2,0.0
57,57,MEM,Ulrich Chomche,,1,7,32,5,8,2,.400,,.500,4.6,0.7,1.1,0.3,0.0,.001,-7.4,0.0
58,58,DAL,Ariel Hukporti,,2,28,257,50,61,15,.629,,.462,9.2,1.8,2.2,0.5,0.1,.022,-5.5,-0.2
