Rank,Name,Position,Team,Height,Age,Previously Ranked
1,Zaccharie Risacher,SF,Bourg (France),6-8.5,19.2,1
2,Alex Sarr,PF/C,Perth (Australia),6-11.75,19.1,2
3,Donovan Clingan,C,UConn,7-1.75,20.3,3
4,Reed Sheppard,PG/SG,Kentucky,6-1.75,19.9,4
5,Matas Buzelis,SF/PF,G League Ignite,6-8.75,19.6,5
6,Stephon Castle,PG/SG,UConn,6-5.5,19.6,6
7,Dalton Knecht,SF,Tennessee,6-5.25,23.1,8
8,Rob Dillingham,PG,Kentucky,6-1,19.4,7
9,Tidjane Salaün,PF,Cholet,6-8.75,18.8,9
10,Nikola Topić,PG,Red Star (Adriatic League),6-5.75,18.8,10
11,Cody Williams,SG/SF,Colorado,6-6.5,19.5,12
12,Devin Carter,PG/SG,Providence,6-2.25,22.2,13
13,Ron Holland,SF,G League Ignite,6-6.5,18.9,11
14,Ja'Kobe Walter,SG/SF,Baylor,6-4.25,19.7,14
15,Jared McCain,PG,Duke,6-2,20.3,15
16,Zach Edey,C,Purdue,7-3.75,22.1,16
17,Tristan Da Silva,SF/PF,Colorado,6-8.25,23.1,17
18,Johnny Furphy,SG/SF,Kansas,6-7.5,19.5,18
19,Bub Carrington,PG,Pittsburgh,6-3.75,18.9,20
20,Kyshawn George,SG/SF,Miami,6-7,20.5,19
21,Kyle Filipowski,PF/C,Duke,6-10.75,20.6,21
22,Yves Missi,C,Baylor,6-10.75,20.1,23
23,Isaiah Collier,PG,USC,6-2.5,19.6,22
24,Kel'el Ware,C,Indiana,6-11.75,20.1,24
25,Tyler Kolek,PG,Marquette,6-1.25,23.7,26
26,Terrence Shannon Jr.,SG/SF,Illinois,6-5.75,23.8,33
27,Baylor Scheierman,SG,Creighton,6-6.25,23.7,25
28,Ryan Dunn,SF/PF,Virginia,6-6.25,21.4,34
29,Bobi Klintman,SF/PF,Cairns,6-8.75,21.2,27
30,Pacome Dadiet,SG/SF,Ratiopharm Ulm,6-7.75,18.9,29
