Rank,Team,Name,Position,Age
1,Atlanta Hawks,Zaccharie Risacher,SF,19.1
2,Washington Wizards,Alex Sarr,PF/C,19.1
3,Houston Rockets (via Nets),Reed Sheppard,PG/SG,19.9
4,San Antonio Spurs,Stephon Castle,PG/SG,19.6
5,Detroit Pistons,Matas Buzelis,SF/PF,19.6
6,Charlotte Hornets,Dalton Knecht,SF,23.1
7,Portland Trail Blazers,Donovan Clingan,C,20.3
8,San Antonio Spurs,Rob Dillingham,PG,19.4
9,Memphis Grizzlies,Cody Williams,SG/SF,19.5
10,Utah Jazz,Nikola Topić,PG,18.8
11,Chicago Bulls,Devin Carter,PG/SG,22.2
12,Oklahoma City Thunder (via Rockets),Tidjane Salaün,PF,18.8
13,Sacramento Kings,Ron Holland,SF,18.9
14,Portland Trail Blazers (via Warriors),Ja'Kobe Walter,SG/SF,19.7
15,Miami Heat,Zach Edey,C,22.0
16,Philadelphia 76ers,Jared McCain,PG,20.3
17,Los Angeles Lakers,Tristan Da Silva,SF/PF,23.0
18,Orlando Magic,Johnny Furphy,SG/SF,19.5
19,Toronto Raptors (via Pacers),Kyshawn George,SG/SF,20.5
20,Cleveland Cavaliers,Bub Carrington,PG/SG,18.9
21,New Orleans Pelicans (via Bucks),Yves Missi,C,20.0
22,Phoenix Suns,Tyler Kolek,PG,23.2
23,Milwaukee Bucks (via Pelicans),Kel'el Ware,C,20.1
24,New York Knicks (via Mavericks),Kyle Filipowski,PF/C,20.6
25,New York Knicks,Ryan Dunn,SF/PF,21.4
26,Washington Wizards (via Clippers),Isaiah Collier,PG,19.6
27,Minnesota Timberwolves,Terrence Shannon Jr.,SG/SF,23.8
28,Denver Nuggets,DaRon Holmes,PF/C,21.8
29,Utah Jazz (via Thunder),Baylor Scheierman,SG/SF,23.7
30,Boston Celtics,Pacome Dadiet,SG/SF,18.8
31,Toronto Raptors (via Pistons),Jaylon Tyson,SG/SF,21.5
32,Utah Jazz (via Wizards),Bobi Klintman,SF/PF,21.2
33,Milwaukee Bucks (via Trail Blazers),Tyler Smith,SF/PF,19.6
34,Portland Trail Blazers (via Hornets),Cam Christie,SG,18.8
35,San Antonio Spurs,Juan Nunez,PG,20.0
36,Indiana Pacers (via Raptors),A.J. Johnson,SG,19.5
37,Minnesota Timberwolves (via Grizzlies),Adem Bona,C,21.2
38,New York Knicks (via Jazz),Kevin McCullar,SF,23.2
39,Memphis Grizzlies (via Nets),Justin Edwards,SG/SF,20.4
40,Portland Trail Blazers (via Hawks),Melvin Ajinça,SG/SF,19.9
41,Philadelphia 76ers (via Bulls),Pelle Larsson,SG,23.3
42,Charlotte Hornets (via Rockets),Jonathan Mogbo,PF/C,22.6
43,Miami Heat,Jamal Shead,PG,21.8
44,Houston Rockets (via Warriors),Ulrich Chomche,PF/C,18.4
45,Sacramento Kings,Harrison Ingram,SF/PF,21.5
46,LA Clippers (via Pacers),Ajay Mitchell,PG,21.9
47,Orlando Magic,Jaylen Wells,SG/SF,20.8
48,San Antonio Spurs (via Lakers),Cam Spencer,SG,24.1
49,Indiana Pacers (via Cavaliers),Nikola Djurisic,SG/SF,20.3
50,Indiana Pacers (via Pelicans),Dillon Jones,SF/PF,22.6
51,Washington Wizards (via Suns),Keshad Johnson,PF,22.9
52,Golden State Warriors (via Bucks),KJ Simpson,PG,21.8
53,Detroit Pistons (via Knicks),Jalen Bridges,SF,23.0
54,Boston Celtics (via Mavericks),Antonio Reeves,SG/SF,23.5
55,Los Angeles Lakers (via Clippers),Bronny James,PG/SG,19.6
56,Denver Nuggets (via Timberwolves),Oso Ighodaro,PF/C,21.9
57,Memphis Grizzlies (via Thunder),Enrique Freeman,PF/C,23.8
58,Dallas Mavericks (via Celtics),Trentyn Flowers,SG/SF,19.2
