Rank,Name,Position,Age,College Class,Height,Weight,Team,Comparison
1,Alex Sarr,C,19,,7-0,224,Perth Wildcats (Australia),Jaren Jackson Jr.
2,Nikola Topić,G,18,,6-6,203,Crvena zvezda (Serbia),Tony Parker
3,Stephon Castle,G,19,FR,6-6,210,UConn,Jrue Holiday
4,Dalton Knecht,F,23,SR,6-6,212,Tennessee,Kyle Kuzma
5,Zaccharie Risacher,F,19,,6-8,195,JL Bourg (France),Khris Middleton
6,Ron Holland,F,18,,6-7,197,G League Ignite,Jonathan Kuminga
7,Donovan Clingan,C,20,SO,7-2,282,UConn,Walker Kessler
8,Reed Sheppard,G,19,FR,6-2,182,Kentucky,Mike Conley
9,Matas Buzelis,F,19,,6-10,197,G League Ignite,Lauri Markkanen
10,Rob Dillingham,G,19,FR,6-3,176,Kentucky,CJ McCollum
11,Cody Williams,F,19,FR,6-7,178,Colorado,Jerami Grant
12,Isaiah Collier,G,19,FR,6-3,205,USC,De'Aaron Fox
13,Devin Carter,G,22,JR,6-3,193,Providence,Jalen Brunson
14,Jared McCain,G,20,FR,6-2,203,Duke,Donte DiVincenzo
15,Tidjane Salaün,F,18,,6-9,217,Cholet (France),Rui Hachimura
16,Ja'Kobe Walter,G,19,FR,6-5,198,Baylor,Malik Monk
17,Tristan Da Silva,F,23,SR,6-9,217,Colorado,Cam Johnson
18,DaRon Holmes,C,21,JR,6-9,236,Dayton,Onyeka Okongwu
19,Kel'el Ware,C,20,SO,7-0,230,Indiana,Dereck Lively II
20,Zach Edey,C,22,SR,7-4,299,Purdue,Ivica Zubac
21,Terrence Shannon Jr.,G,23,SR,6-6,219,Illinois,Bennedict Mathurin
22,Bub Carrington,G,18,FR,6-4,195,Pittsburgh,Immanuel Quickley
23,Kyshawn George,G,20,FR,6-8,209,Miami,Devin Vassell
24,Kyle Filipowski,F,20,SO,6-11,230,Duke,P.J. Washington
25,Tyler Smith,F,19,,6-11,224,G League Ignite,John Collins
26,Yves Missi,C,20,FR,6-11,229,Baylor,Clint Capela
27,Jaylon Tyson,F,21,JR,6-6,218,California,Evan Turner
28,Ryan Dunn,F,21,SO,6-7,214,Virginia,Herb Jones
29,Kevin McCullar Jr.,G,23,SR,6-6,210,Kansas,Talen Horton-Tucker
30,Tyler Kolek,G,23,SR,6-2,197,Marquette,Goran Dragic
31,Pacome Dadiet,F,18,,6-8,217,Ulm (Germany),Kelly Oubre Jr.
32,Baylor Scheierman,F,23,SR,6-6,202,Creighton,Brandin Podziemski
33,Trey Alexander,G,21,JR,6-4,187,Creighton,Caleb Martin
34,Dillon Jones,F,22,JR,6-5,237,Weber State,Naji Marshall
35,Harrison Ingram,F,21,JR,6-6,234,North Carolina,Josh Hart
36,KJ Simpson,G,21,JR,6-1,187,Colorado,Fred VanVleet
37,PJ Hall,F,22,SR,6-9,240,Clemson,Kevin Love
38,Bobi Klintman,F,21,,6-9,212,Cairns Taipans (Australia),Rudy Gay
39,Melvin Ajinça,F,19,,6-8,214,Saint-Quentin (France),Taurean Prince
40,Nikola Djurisic,F,20,,6-8,209,Mega Basket (Serbia),Austin Reaves
41,Johnny Furphy,F,19,FR,6-8,189,Kansas,Sam Hauser
42,Oso Ighodaro,F,21,SR,6-10,222,Marquette,Trayce Jackson-Davis
43,Bronny James,G,19,FR,6-2,210,USC,Jalen Suggs
44,Jonathan Mogbo,F,22,JR,6-7,217,San Francisco,Thaddeus Young
45,Jalen Bridges,F,23,SR,6-7,213,Baylor,De'Andre Hunter
46,Pelle Larsson,F,23,SR,6-6,212,Arizona,Bogdan Bogdanovic
47,Tristen Newton,G,23,SR,6-4,192,UConn,Andre Jackson Jr.
48,Justin Edwards,F,20,FR,6-7,209,Kentucky,Aaron Nesmith
49,Keshad Johnson,F,22,SR,6-7,224,Arizona,Josh Green
50,Adem Bona,C,21,SO,6-9,243,UCLA,Xavier Tillman
51,Ajay Mitchell,G,21,JR,6-4,197,UC Santa Barbara,Terry Rozier
52,Cam Spencer,G,24,SR,6-4,202,UConn,Ty Jerome
53,Cam Christie,G,18,FR,6-4,190,Minnesota,Max Christie
54,Jamal Shead,G,21,SR,6-1,201,Houston,Patrick Beverley
55,AJ Johnson,G,19,,6-4,167,Illawarra Hawks (Australia),Jordan Clarkson
56,Trentyn Flowers,F,19,,6-7,201,Adelaide 36ers (Australia),Caris LeVert
57,N'Faly Dante,C,22,SR,6-11,260,Oregon,Day'Ron Sharpe
58,Juan Nunez,G,20,,6-4,206,Ulm (Germany),T.J. McConnell
59,Antonio Reeves,G,23,SR,6-5,187,Kentucky,Josh Richardson
60,Ulrich Chomche,C,18,,6-11,232,NBA Academy Africa,Bismack Biyombo
