Rank,Team,Name,Position,Age
1,Hawks,Zaccharie Risacher,Forward,19
2,Wizards,Alex Sarr,Center,19
3,Rockets (via BKN),Donovan Clingan,Center,20
4,Spurs,Stephon Castle,Guard,19
5,Pistons,Matas Buzelis,Forward,19
6,Hornets,Reed Sheppard,Guard,19
7,Trail Blazers,Ron Holland,Forward,18
8,Spurs (via TOR),Dalton Knecht,Forward,23
9,Grizzlies,Nikola Topić,Guard,18
10,Jazz,Cody Williams,Forward,19
11,Bulls,Rob Dillingham,Guard,19
12,Thunder (via HOU),Jared McCain,Guard,20
13,Kings,Devin Carter,Guard,22
14,Wizards (via POR),Tidjane Salaün,Forward,18
15,Heat,Isaiah Collier,Guard,19
16,76ers,Ja'Kobe Walter,Guard,19
17,Lakers,Tristan Da Silva,Forward,23
18,Magic,Kyshawn George,Guard,20
19,Raptors (via IND),Bub Carrington,Guard,18
20,Cavaliers,Johnny Furphy,Forward,19
21,Pelicans (via MIL),Zach Edey,Center,22
22,Suns,Tyler Kolek,Guard,23
23,Bucks (via NOP),Kel'el Ware,Center,20
24,Knicks (via DAL),Terrence Shannon Jr.,Guard,23
25,Knicks,Ryan Dunn,Forward,21
26,Wizards (via LAC),Yves Missi,Center,20
27,Timberwolves,Jaylon Tyson,Forward,21
28,Nuggets,DaRon Holmes,Center,21
29,Jazz (via OKC),Kyle Filipowski,Forward,20
30,Celtics,Baylor Scheierman,Forward,23
31,Raptors (via DET),Pacome Dadiet,F,18
32,Jazz (via WAS),Kevin McCullar Jr.,G,23
33,Bucks (via POR),Tyler Smith,F,19
34,Trail Blazers (via CHA),Dillon Jones,G,22
35,Spurs,KJ Simpson,G,21
36,Pacers (via TOR),Trey Alexander,G,21
37,Timberwolves (via MEM),Harrison Ingram,F,21
38,Knicks (via UTA),Bobi Klintman,F,21
39,Grizzlies (via BKN),Melvin Ajinça,F,19
40,Trail Blazers (via ATL),Oso Ighodaro,F,21
41,76ers (via CHI),Pelle Larsson,F,23
42,Hornets (via HOU),Justin Edwards,F,20
43,Heat,Nikola Djurisic,F,20
44,Rockets (via GSW),AJ Johnson,G,19
45,Kings,PJ Hall,F,22
46,Clippers (via IND),Jalen Bridges,F,23
47,Magic,Cam Christie,F,18
48,Spurs (via LAL),Cam Spencer,F,24
49,Pacers (via CLE),Tristan Newton,F,23
50,Pacers (via NOP),Ajay Mitchell,G,21
51,Wizards (via PHX),Jamal Shead,G,21
52,Warriors (via MIL),Keshad Johnson,F,22
53,Pistons (via NYK),Antonio Reeves,G,23
54,Celtics (via DAL),Trentyn Flowers,F,19
55,Lakers (via LAC),Bronny James,G,19
56,Nuggets (via MIN),Jonathan Mogbo,F,22
57,Grizzlies (via OKC),Adem Bona,C,21
58,Mavericks (via BOS),Juan Nunez,G,20
