Rank,Name,Position,Team/League,Height,Weight,Age,PTS,REB,AST,BLK,STL,College Class
1,Zaccharie Risacher,SF,JL Bourg,6'9.75",195,19.2,17.2,6.2,1.4,0.7,1.3,International
2,Alex Sarr,PF/C,Perth,7'1",224,19.2,19.2,9.0,2.1,3.1,0.9,International
3,Reed Sheppard,PG/SG,Kentucky,6'3",182,20.0,15.5,5.1,5.6,0.9,3.1,Freshman
4,Nikola Topić,PG,Red Star,6'7",203,18.9,18.8,4.2,7.2,0.2,1.2,International
5,Matas Buzelis,SF,G League,6'10",197,19.7,16.4,7.7,2.3,2.3,1.1,G League
6,Stephon Castle,PG/SG,UConn,6'6.75",210,19.6,14.8,6.2,3.9,0.7,1.1,Freshman
7,Donovan Clingan,C,UConn,7'3",282,20.3,20.8,11.8,2.4,3.9,0.8,Sophomore
8,Devin Carter,PG/SG,Providence,6'3.5",193,22.3,20.1,8.8,3.7,1.0,1.8,Junior
9,Dalton Knecht,SF,Tennessee,6'6.5",212,23.2,25.5,5.8,2.1,0.8,0.8,Senior
10,Rob Dillingham,PG,Kentucky,6'2.25",164,19.5,23.5,4.5,6.0,0.1,1.6,Freshman
11,Ron Holland,SF/PF,G League,6'7.75",197,18.9,22.0,7.5,3.3,1.0,2.6,G League
12,Cody Williams,SF,Colorado,6'7.75",178,19.6,15.1,3.8,2.0,0.8,0.8,Freshman
13,Tidjane Salaün,SF,Cholet Basket,6'10",217,18.9,15.0,6.1,1.4,0.3,1.7,International
14,Tristan Da Silva,SF/PF,Colorado,6'9.5",217,23.1,17.0,5.4,2.6,0.6,1.2,Senior
15,Jared McCain,PG/SG,Duke,6'3.25",203,20.3,16.3,5.7,2.2,0.1,1.2,Freshman
16,Ja'Kobe Walter,SG,Baylor,6'5.5",198,19.8,16.2,4.9,1.6,0.3,1.2,Freshman
17,Zach Edey,C,Purdue,7'5",299,22.1,28.4,13.7,2.3,2.4,0.3,Senior
18,Kyshawn George,SG,Miami,6'8.25",209,20.5,11.9,4.7,3.4,0.6,1.4,Freshman
19,Isaiah Collier,PG,USC,6'3.75",205,19.7,19.6,3.5,5.1,0.3,1.8,Freshman
20,Kyle Filipowski,C,Duke,7'0",230,20.6,19.4,9.8,3.3,1.8,1.3,Sophomore
21,Bub Carrington,PG,Pittsburgh,6'5",195,18.9,15.0,5.6,4.5,0.3,0.6,Freshman
22,Tyler Kolek,PG,Marquette,6'2.5",197,23.2,16.7,5.4,8.4,0.2,1.7,Senior
23,Kel'el Ware,C,Indiana,7'1",230,20.2,17.8,11.0,1.7,2.1,0.7,Sophomore
24,Yves Missi,C,Baylor,7'0",229,20.1,16.8,8.8,0.6,2.4,0.9,Freshman
25,Johnny Furphy,SG,Kansas,6'8.75",189,19.5,13.5,7.3,1.5,0.5,1.3,Freshman
26,Terrence Shannon Jr.,SG,Illinois,6'7",219,23.9,24.4,4.2,2.4,0.9,1.1,Senior
27,Tyler Smith,PF/SF,G League,6'10.25",224,19.6,22.3,8.3,2.2,1.5,1.3,G League
28,DaRon Holmes,PF,Dayton,6'10",236,21.9,22.6,9.4,2.9,2.3,1.0,Junior
29,Jaylon Tyson,SG,California,6'6.75",218,21.6,20.6,7.1,3.6,0.5,1.3,Junior
30,Bobi Klintman,SF/PF,Cairns,6'10",212,21.3,16.9,7.9,1.5,0.8,1.7,International
31,Baylor Scheierman,SF,Creighton,6'7.5",202,23.7,18.1,8.8,3.9,0.1,0.9,Senior
32,Ryan Dunn,SF,Virginia,6'7.5",214,21.5,10.6,9.0,1.0,3.0,1.7,Sophomore
33,Pacome Dadiet,SG,Ratiopharm Ulm,6'9",217,18.9,15.5,5.3,1.4,0.3,1.3,International
34,Jonathan Mogbo,PF,San Francisco,6'7.5",217,22.7,17.8,12.7,4.6,1.0,2.0,Junior
35,Kevin McCullar,SG,Kansas,6'6.5",206,23.3,19.3,6.3,4.3,0.4,1.6,Senior
36,AJ Johnson,SG,Illawarra,6'5.5",167,19.6,12.5,5.4,3.5,0.6,0.9,International
37,Cam Christie,SG,Minnesota,6'5.75",190,18.9,13.5,4.3,2.7,0.4,0.8,Freshman
38,Justin Edwards,SF,Kentucky,6'7.25",209,20.5,14.8,5.7,1.6,0.4,1.5,Freshman
39,Adem Bona,C,UCLA,6'9.5",243,21.2,16.8,8.0,1.7,2.4,1.5,Sophomore
40,KJ Simpson,PG,Colorado,6'1.5",187,21.9,20.2,6.0,5.0,0.1,1.7,Junior
41,Jamal Shead,PG,Houston,6'1.5",201,22.0,15.0,4.3,7.3,0.5,2.5,Senior
42,Nikola Djurisic,SG/SF,KK Mega Basket,6'8.25",209,20.3,17.8,3.4,4.1,0.5,1.4,International
43,Juan Núñez,PG,Ratiopharm Ulm,6'5.25",206,20.1,15.4,5.3,7.7,0.1,2.6,International
44,Jaylen Wells,SF,Washington State,6'7.75",206,20.8,15.5,5.7,1.5,0.2,0.6,Junior
45,Pelle Larsson,SG,Arizona,6'6.5",212,23.3,15.3,4.9,4.5,0.3,1.1,Senior
46,Ajay Mitchell,PG/SG,UC Santa Barbara,6'4.5",197,22.0,22.9,4.6,4.5,0.4,1.3,Junior
47,Dillon Jones,SF,Weber State,6'5.75",237,22.7,20.2,9.6,5.1,0.1,1.9,Senior
48,Oso Ighodaro,PF,Marquette,6'10.75",222,21.9,14.9,7.6,3.2,1.4,1.2,Senior
49,Harrison Ingram,SF,North Carolina,6'6.5",234,21.6,13.4,9.7,2.4,0.4,1.5,Junior
50,Keshad Johnson,PF,Arizona,6'7.5",224,23.0,15.0,7.7,2.4,0.9,1.3,Senior
51,Jalen Bridges,SF,Baylor,6'8",213,23.1,13.8,6.4,1.6,0.6,1.2,Senior
52,Melvin Ajinca,SG/SF,Saint-Quentin,6'8.5",214,19.9,14.8,5.1,1.1,0.1,0.7,International
53,Ulrich Chomche,PF/C,NBA Academy Africa,6'11.5",232,18.5,15.6,10.8,4.0,3.2,1.6,International
54,Tristen Newton,PG/SG,UConn,6'4.5",192,23.2,16.4,7.1,6.7,0.3,1.0,Senior
55,Bronny James,PG/SG,USC,6'2.75",210,19.7,9.0,5.3,4.0,0.4,1.4,Freshman
56,Cam Spencer,SG,UConn,6'4.25",202,24.2,15.7,5.3,4.0,0.3,1.6,Senior
57,Antonio Reeves,SG,Kentucky,6'5.75",187,23.6,23.2,4.8,1.9,0.3,0.8,Senior
58,Isaiah Crawford,SF,Louisiana Tech,6'6",220,22.6,17.9,6.8,2.6,1.9,2.3,Senior
