Rank,Name,Team,Position,Height,Weight,Age,Wingspan,Points (pts),TS%,3P%,3PA/G,Rebounds (reb),REB%,Assists (ast),TOV/G,Blocks (blk),BLK%,Steals (stl),STL%,FT%
1,Reed Sheppard,Kentucky,Guard,6'1.8,182,20,6'3.3",12.5,69.9,52.1,4.4,N/A,N/A,4.5,2.0,N/A,N/A,2.5,4.5,N/A
2,Donovan Clingan,UConn,Center,7'1.8",282,20.3,7'6.8",13.0,63.7,N/A,N/A,7.4,20.6,1.5,0.8,2.5,11.4,N/A,N/A,N/A
3,Stephon Castle,UConn,Combo Guard,6'5.5",210,19.6,6'9",11.1,55.1,26.7,2.2,4.7,10.9,2.9,1.5,N/A,N/A,N/A,N/A,N/A
4,Matas Buzelis,G League Ignite,Point Forward,6'8.8",197,19.7,6'10",14.3,54.9,27.3,3.4,6.9,12.1,N/A,N/A,2.1,5.7,N/A,N/A,N/A
5,Devin Carter,Providence,Guard,6'2.3",193,22.2,6'8.8",19.1,59.7,37.7,6.6,8.4,15.1,3.5,2.6,N/A,N/A,N/A,N/A,N/A
6,Alex Sarr,Perth Wildcats (NBL),Center,6'11.8",224,19.1,7'4.3",9.6,57.6,N/A,N/A,4.5,13.4,1.0,1.0,1.5,8.0,N/A,N/A,N/A
7,Zach Edey,Purdue,Center,7'3.8",299,22.1,7'10.8",25.2,65.9,N/A,N/A,12.2,23.4,2.0,2.3,2.2,6.9,N/A,N/A,N/A
8,Dalton Knecht,Tennessee,Wing,6'5.3",212,23.1,6'9",21.7,57.8,39.7,6.5,4.9,9.2,1.8,1.7,N/A,N/A,N/A,N/A,N/A
9,Ron Holland,G League Ignite,Wing,6'6.5",197,18.9,6'10.8",15.3,47.8,27.3,3.7,7.0,13.9,N/A,N/A,N/A,N/A,1.3,2.9,N/A
10,Rob Dillingham,Kentucky,Guard,6'1",164,19.4,6'3",15.2,59.5,44.4,4.5,2.9,7.5,3.9,2.0,N/A,N/A,N/A,N/A,N/A
11,Zaccharie Risacher,JL Bourg (LNB Pro A),Forward,6'8.5",195,19.2,6'9.5",11.1,58.7,38.7,3.7,4.0,11.0,0.9,1.6,N/A,N/A,N/A,N/A,N/A
12,Jared McCain,Duke,Point Guard,6'2",203,20.3,6'3.5",14.3,61.1,41.4,5.8,5.0,10.0,1.9,1.3,N/A,N/A,N/A,N/A,N/A
13,Nikola Topić,Crvena Zvezda (Serbian KLS),Guard,6'5.8",203,18.8,6'5.5",14.5,60.4,30.6,3.7,3.2,7.3,5.5,2.3,N/A,N/A,N/A,N/A,N/A
14,Tidjane Salaün,Cholet (LNB Pro A),Forward,6'9",203,18.8,7'1",9.7,52.8,31.6,4.4,3.9,10.9,N/A,N/A,N/A,N/A,1.1,2.5,N/A
15,Cody Williams,Colorado,Wing,6'6.5",178,19.6,7'1",11.9,62.0,41.5,1.7,3.0,6.4,1.6,2.0,N/A,N/A,N/A,N/A,N/A
16,Ryan Dunn,Virginia,Forward,6'6.3",214,21.4,7'1.5",8.1,56.4,N/A,N/A,6.9,16.5,N/A,N/A,2.3,10.4,1.3,3.0,N/A
17,Bub Carrington,Pittsburgh,Guard,6'3.8",195,18.9,6'8",13.8,53.0,32.2,6.1,5.2,9.5,4.1,1.9,N/A,N/A,N/A,N/A,N/A
18,Ja'Kobe Walter,Baylor,Combo Guard,6'4.3",198,19.8,6'10",14.5,54.1,34.1,6.3,4.4,9.6,1.4,1.3,N/A,N/A,N/A,N/A,N/A
19,Isaiah Collier,USC,Point Guard,6'2.5",205,19.7,6'4.8",16.3,56.7,33.8,3.0,N/A,N/A,4.3,3.3,N/A,N/A,1.5,2.8,N/A
20,Tristan Da Silva,Colorado,Forward,6'8.3",217,23.1,6'10.3",16.0,60.6,39.5,4.8,5.1,9.7,2.4,1.8,N/A,N/A,N/A,N/A,N/A
21,Terrence Shannon Jr.,Illinois,Wing,6'5.8",220,23.9,6'8.8",23.0,62.2,36.2,6.7,4.0,6.9,2.3,2.0,N/A,N/A,N/A,N/A,N/A
22,Bobi Klintman,Cairns Taipans (NBL),Forward,6'8.8",212,21.3,6'11",10.2,57.1,33.7,3.5,4.7,11.8,N/A,N/A,N/A,N/A,1.0,2.3,N/A
23,Kel'el Ware,Indiana,Center,6'11.8",230,20.1,7'4.5",15.9,62.1,42.5,1.3,9.9,19.0,N/A,N/A,1.9,6.4,N/A,N/A,N/A
24,Baylor Scheierman,Creighton,Shooting Guard,6'6.3",202,23.7,6'8.3",18.5,59.6,38.1,8.3,9.0,14.8,3.9,2.2,N/A,N/A,N/A,N/A,N/A
25,Tyler Kolek,Marquette,Point Guard,6'1.3",197,23.2,6'2.8",15.3,60.0,38.8,3.9,4.9,9.3,7.7,2.9,N/A,N/A,N/A,N/A,N/A
